iter	Passed	Remaining
820	34804	7588
821	34860	7548
822	34902	7506
823	34935	7461
824	34961	7415
825	34989	7370
826	35014	7324
827	35041	7279
828	35083	7236
829	35159	7201
830	35262	7171
831	35311	7130
832	35350	7087
833	35384	7042
834	35432	7001
835	35469	6958
836	35585	6930
837	35668	6895
838	35715	6853
839	35753	6810
840	35790	6766
841	35837	6724
842	35873	6681
843	35913	6638
844	36027	6608
845	36099	6571
846	36133	6527
847	36162	6482
848	36189	6436
849	36231	6393
850	36271	6350
851	36304	6306
852	36369	6267
853	36431	6228
854	36486	6187
855	36578	6153
856	36645	6114
857	36713	6076
858	36792	6039
859	36903	6007
860	36945	5964
861	37049	5931
862	37134	5895
863	37237	5861
864	37292	5820
865	37326	5775
866	37362	5731
867	37457	5696
868	37582	5665
869	37697	5632
870	37893	5612
871	38040	5583
872	38125	5546
873	38158	5501
874	38187	5455
875	38219	5410
876	38257	5365
877	38300	5322
878	38422	5289
879	38567	5259
880	38639	5219
881	38671	5173
882	38710	5129
883	38760	5086
884	38792	5040
885	38822	4995
886	38851	4949
887	38877	4903
888	38904	4857
889	38938	4812
890	39000	4771
891	39051	4728
892	39141	4690
893	39199	4647
894	39237	4603
895	39270	4558
896	39300	4512
897	39328	4467
898	39354	4421
899	39388	4376
900	39429	4332
901	39470	4288
902	39509	4244
903	39539	4198
904	39572	4153
905	39604	4109
906	39646	4065
907	39680	4020
908	39726	3977
909	39775	3933
910	39807	3888
911	39850	3845
912	39883	3800
913	39915	3755
914	39944	3710
915	39979	3666
916	40005	3620
917	40033	3575
918	40064	3531
919	40098	3486
920	40124	3441
921	40156	3397
922	40209	3354
923	40260	3311
924	40357	3272
925	40408	3229
926	40449	3185
927	40477	3140
928	40505	3095
929	40545	3051
930	40576	3007
931	40605	2962
932	40640	2918
933	40672	2874
934	40700	2829
935	40725	2784
936	40753	2740
937	40801	2696
938	40828	2652
939	40855	2607
940	40884	2563
941	40911	2518
942	40939	2474
943	40977	2430
944	41009	2386
945	41059	2343
946	41106	2300
947	41136	2256
948	41165	2212
